date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:24	102/102	---M-Z	200	added ('OK')	text/plain	etag:%22d34ba596f03587e5dddb880276ea515b%22	https://nimghanim.framer.website/robots.txt		(from )
11:25:24	477342/477342	---M-Z	200	added ('OK')	text/html	etag:%22012c90d8738a16a8802b76be1cee3386%22	https://nimghanim.framer.website/	C:/My%20Web%20Sites/Portofolio%20Ghanim/nimghanim.framer.website/index.html	(from )
11:25:25	18733/18733	---MC-	200	added ('OK')	image/jpeg	etag:%22e423083dec3a2e101972cc1a96bb45c8%22	https://framerusercontent.com/images/Des0ni0KBBAieQiwvj5xA2jXeY.jpg	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/Des0ni0KBBAieQiwvj5xA2jXeY.jpg	(from https://nimghanim.framer.website/)
11:25:25	199607/199607	---MC-	200	added ('OK')	image/png	etag:%2285a8064677650228fc3427358c8ebbd5%22	https://framerusercontent.com/images/Y2hDnlZarjPJwwtYxc065dEr57A.png	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/Y2hDnlZarjPJwwtYxc065dEr57A.png	(from https://nimghanim.framer.website/)
11:25:26	6985/6985	---MC-	200	added ('OK')	image/png	etag:%22d42e0e32c2bdc75cb7a5fd5abc97f9d7%22	https://framerusercontent.com/images/q8NoVTXbZtiUjmoqwseMRcaJE.png	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/q8NoVTXbZtiUjmoqwseMRcaJE.png	(from https://nimghanim.framer.website/)
11:25:26	179458/179458	---M-Z	200	added ('OK')	text/html	etag:%22339f2f438c10b9dec0ca16f24339a166%22	https://nimghanim.framer.website/contact	C:/My%20Web%20Sites/Portofolio%20Ghanim/nimghanim.framer.website/contact.html	(from https://nimghanim.framer.website/)
11:25:27	442196/442196	---MC-	200	added ('OK')	image/jpeg	etag:%225e2f82b97e6fdc4b2424b3b539468dd0%22	https://framerusercontent.com/images/OnXCmbL9ofr91vrjczTdzif2dZc.jpeg	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/OnXCmbL9ofr91vrjczTdzif2dZc.jpg	(from https://nimghanim.framer.website/)
11:25:28	522993/522993	---MC-	200	added ('OK')	image/jpeg	etag:%22b6a7e3a68f3394e0b87d79e66d8482ca%22	https://framerusercontent.com/images/mWZiRWY6vfH8ovDJX2iFB35UXtI.jpeg	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/mWZiRWY6vfH8ovDJX2iFB35UXtI.jpg	(from https://nimghanim.framer.website/)
11:25:28	3032/3032	---MC-	200	added ('OK')	image/png	etag:%224342f40c4161c8c6c56aeb2f16e45f2c%22	https://framerusercontent.com/images/CT6jl0itRWHzucE3DJDoRPA4miQ.png	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/CT6jl0itRWHzucE3DJDoRPA4miQ.png	(from https://nimghanim.framer.website/)
11:25:28	2728/2728	---MC-	200	added ('OK')	image/png	etag:%2288880391e68895ea1ac805e8ec00174b%22	https://framerusercontent.com/images/SdUrIBp7KZDAQ9OVLILO4dtmEk.png	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/SdUrIBp7KZDAQ9OVLILO4dtmEk.png	(from https://nimghanim.framer.website/)
11:25:28	2944/2944	---MC-	200	added ('OK')	image/png	etag:%228f1c65e21f87eb412a63c823386038a2%22	https://framerusercontent.com/images/xYaSQIGZaj6LRSvKZzCi4gBfz4.png	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/xYaSQIGZaj6LRSvKZzCi4gBfz4.png	(from https://nimghanim.framer.website/)
11:25:29	4306/4306	---MC-	200	added ('OK')	image/png	etag:%22f5a4d6e4d5ed139eb23983d4f42ce2bf%22	https://framerusercontent.com/images/MevwIityCZi7Si3NLywN415u4U.png	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/MevwIityCZi7Si3NLywN415u4U.png	(from https://nimghanim.framer.website/)
11:25:29	3046/3046	---MC-	200	added ('OK')	image/png	etag:%225bfea7434c51cbb7a39e4723dd8f502b%22	https://framerusercontent.com/images/jr3VaOdb33FGGp3LasFyx89BXY.png	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/jr3VaOdb33FGGp3LasFyx89BXY.png	(from https://nimghanim.framer.website/)
11:25:29	8741/8741	---MC-	200	added ('OK')	image/png	etag:%228114f1f42bb00131bac03061d74e9317%22	https://framerusercontent.com/images/1PXd2q6c6IF743MErx1I6HZsoI.png	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/1PXd2q6c6IF743MErx1I6HZsoI.png	(from https://nimghanim.framer.website/)
11:25:32	360718/360718	---MC-	200	added ('OK')	image/png	etag:%228d07491f5af4ae91d6afb214a43b8aad%22	https://framerusercontent.com/images/fR02bFpYuJkoeKs1CDKCyjfYGmk.png	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/fR02bFpYuJkoeKs1CDKCyjfYGmk.png	(from https://nimghanim.framer.website/)
11:25:33	359957/359957	---MC-	200	added ('OK')	image/jpeg	etag:%22119d36daab160f122cb73bcc1854cc49%22	https://framerusercontent.com/images/mWZiRWY6vfH8ovDJX2iFB35UXtI.jpeg?scale-down-to=2048	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/mWZiRWY6vfH8ovDJX2iFB35UXtI9ae5.jpg	(from https://nimghanim.framer.website/)
11:25:33	3801/3801	---MC-	200	added ('OK')	image/png	etag:%226c04719b403ce66f1d0343eb15e68054%22	https://framerusercontent.com/images/o36Bc1ErltC0QMbYVxncv4RHww.png?scale-down-to=512	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/o36Bc1ErltC0QMbYVxncv4RHww17f5.png	(from https://nimghanim.framer.website/)
11:25:33	6045/6045	---MC-	200	added ('OK')	image/png	etag:%22ceffd06cb899adc341a924526b5e1d42%22	https://framerusercontent.com/images/kFppJflwDFLlqEjqUBOMOGDTGes.png	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/kFppJflwDFLlqEjqUBOMOGDTGes.png	(from https://nimghanim.framer.website/)
11:25:35	190886/190886	---MC-	200	added ('OK')	image/png	etag:%2236de08fa890a4ec4d98175b43a5bad8f%22	https://framerusercontent.com/images/QqLG1nBdIciy9J7ZPzjomblxOw.png	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/QqLG1nBdIciy9J7ZPzjomblxOw.png	(from https://nimghanim.framer.website/)
11:25:37	307559/307559	---MC-	200	added ('OK')	image/png	etag:%2212026011ac22fc69969e8e186d583d05%22	https://framerusercontent.com/images/y6MHlToqS8ajTj1tpX6fztcmFIc.png	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/y6MHlToqS8ajTj1tpX6fztcmFIc.png	(from https://nimghanim.framer.website/)
11:25:39	307591/307591	---MC-	200	added ('OK')	image/png	etag:%2208322b56a58c5343bb211a260220ce26%22	https://framerusercontent.com/images/RRVbBeLYjBiJGBagFLjtqUDWg.png	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/RRVbBeLYjBiJGBagFLjtqUDWg.png	(from https://nimghanim.framer.website/)
11:25:40	319303/319303	---MC-	200	added ('OK')	image/jpeg	etag:%22993a88830711827e2d50341dd480f8a3%22	https://framerusercontent.com/images/OnXCmbL9ofr91vrjczTdzif2dZc.jpeg?scale-down-to=2048	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/OnXCmbL9ofr91vrjczTdzif2dZc9ae5.jpg	(from https://nimghanim.framer.website/)
11:25:41	1487265/1487265	---MC-	200	added ('OK')	image/jpeg	etag:%22ccd481cbbf4348bdfc9510a7438c3041%22	https://framerusercontent.com/images/Fgz3vbSDftLQDNg8ftu5q2Swyjk.jpeg	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/Fgz3vbSDftLQDNg8ftu5q2Swyjk.jpg	(from https://nimghanim.framer.website/)
11:25:41	422373/422373	---MC-	200	added ('OK')	image/jpeg	etag:%22b7e211459cd6c6906a93ac00ddb447bc%22	https://framerusercontent.com/images/B0JG0EF8Oxct5ZXwI8t9KyJvmg.jpeg	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/B0JG0EF8Oxct5ZXwI8t9KyJvmg.jpg	(from https://nimghanim.framer.website/)
11:25:42	253897/253897	---MC-	200	added ('OK')	image/jpeg	etag:%2289d2dec9d6d5a4292e7db0999727ccb0%22	https://framerusercontent.com/images/exkbR7mvEsBKgPdvXESNjNNTU.jpeg	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/exkbR7mvEsBKgPdvXESNjNNTU.jpg	(from https://nimghanim.framer.website/)
11:25:43	579229/579229	---MC-	200	added ('OK')	image/jpeg	etag:%2286f0f2b73756e5af8e6ac256c5c57f8b%22	https://framerusercontent.com/images/6F3PrXfg38FjZm0CZ5RWtu7uuuo.jpeg	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/6F3PrXfg38FjZm0CZ5RWtu7uuuo.jpg	(from https://nimghanim.framer.website/)
11:25:44	266971/266971	---MC-	200	added ('OK')	image/jpeg	etag:%22fd2affd25ed15e81518af5b5dd6912fa%22	https://framerusercontent.com/images/lazk6btsZDWr3DFM6zec2fEMDE.jpeg	C:/My%20Web%20Sites/Portofolio%20Ghanim/framerusercontent.com/images/lazk6btsZDWr3DFM6zec2fEMDE.jpg	(from https://nimghanim.framer.website/)
